member,name,born,city,alive
RZA,Robert Fitzgerald Diggs,1969,New York City,TRUE
GZA,Gary Eldridge Gric,1966,New York City,TRUE
ODB,Russell Tyrone Jones,1968,New York City,FALSE
Method Man,"Clifford Smith, Jr.",1971,"Hempstead, Long Island",TRUE
Raekwon,Corey Woods,1970,New York City,TRUE
Ghostface Killah,Dennis Coles,1970,"Staten Island, New York City",TRUE
Inspectah Deck,Jason Richard Hunter,1970,New York City,TRUE
U-God,Lamont Jody Hawkins,1970,New York City,TRUE
Masta Killa,Jamel Irief,1969,New York City,TRUE
Cappadonna,Darryl Hill,1968,New York City,TRUE
